"","X_type","url","date","rawContent","renderedContent","id","replyCount","retweetCount","likeCount","quoteCount","conversationId","lang","source_url","nofollow","source_device","sourceLabel","retweetedTweet","inReplyToTweetId","longitude","latitude","hashtags","cashtags","viewCount","vibe"
"21","snscrape.modules.twitter.Tweet","https://twitter.com/TrendsReportNow/status/1621564687212236800","2023-02-03 17:42:03+00:00","Great Outfits in Fashion History: Devon Aoki at the '2 Fast 2 Furious' Premiere https://t.co/T4MzJnHUQR","Great Outfits in Fashion History: Devon Aoki at the '2 Fast 2 Furious' Premiere dlvr.it/ShvBst",1621564687212236800,0,0,0,0,1621564687212236800,"en","https://dlvrit.com/","nofollow","dlvr.it","dlvr.it",NA,NA,NA,NA,NA,NA,1,NA
"22","snscrape.modules.twitter.Tweet","https://twitter.com/DelikateRayne/status/1621563164210135040","2023-02-03 17:36:00+00:00","Love for fast fashion is a short term affair- one that's going to catch up with us eventually. Learn how to develop sustainable buying habits: 
https://t.co/fHThAKtBQr
#sustainability #slowfashion #consciousconsumer #fashion #drdiary","Love for fast fashion is a short term affair- one that's going to catch up with us eventually. Learn how to develop sustainable buying habits: 
tinyurl.com/yjj73yja
#sustainability #slowfashion #consciousconsumer #fashion #drdiary",1621563164210135040,0,0,0,0,1621563164210135040,"en","https://about.twitter.com/products/tweetdeck","nofollow","TweetDeck","TweetDeck",NA,NA,NA,NA,"['sustainability', 'slowfashion', 'consciousconsumer', 'fashion', 'drdiary']",NA,8,NA
"23","snscrape.modules.twitter.Tweet","https://twitter.com/TheClosetDesign/status/1621558710597451777","2023-02-03 17:18:18+00:00","Great Outfits in Fashion History: Devon Aoki at the '2 Fast 2 Furious' Premiere https://t.co/6Zv08Xkv6t https://t.co/NtRTjlpqwn","Great Outfits in Fashion History: Devon Aoki at the '2 Fast 2 Furious' Premiere dlvr.it/Shv7xc https://t.co/NtRTjlpqwn",1621558710597451520,0,0,0,0,1621558710597451520,"en","https://dlvrit.com/","nofollow","dlvr.it","dlvr.it",NA,NA,NA,NA,NA,NA,3,NA
"24","snscrape.modules.twitter.Tweet","https://twitter.com/localswampgay/status/1621557634510864384","2023-02-03 17:14:01+00:00","I’ve been betrayed by fast fashion yet again","I’ve been betrayed by fast fashion yet again",1621557634510864384,1,0,9,0,1621557634510864384,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,672,NA
"25","snscrape.modules.twitter.Tweet","https://twitter.com/Womensyard/status/1621556566599294977","2023-02-03 17:09:47+00:00","Great Outfits in Fashion History: Devon Aoki at the '2 Fast 2 Furious' Premiere https://t.co/0UTGfjo6mq https://t.co/RAz4CUGIE0","Great Outfits in Fashion History: Devon Aoki at the '2 Fast 2 Furious' Premiere dlvr.it/Shv6wZ https://t.co/RAz4CUGIE0",1621556566599294720,0,0,0,0,1621556566599294720,"en","https://dlvrit.com/","nofollow","dlvr.it","dlvr.it",NA,NA,NA,NA,NA,NA,4,NA
"26","snscrape.modules.twitter.Tweet","https://twitter.com/NBH79634045/status/1621554422043054080","2023-02-03 17:01:15+00:00","🤯 You won’t believe this! Men's Oxford Wash and Wear Plaid Shirts 100% Cotton Casual Shirts Fashion... selling at $81.40 🤯
by Nicks Corner Store ⏩ https://t.co/be5oDoDncN
🚀 Selling out fast so be quick! 🚀 https://t.co/GgdWCOiRzK","🤯 You won’t believe this! Men's Oxford Wash and Wear Plaid Shirts 100% Cotton Casual Shirts Fashion... selling at $81.40 🤯
by Nicks Corner Store ⏩ shortlink.store/UFBfseqG1
🚀 Selling out fast so be quick! 🚀 https://t.co/GgdWCOiRzK",1621554422043054080,0,0,0,0,1621554422043054080,"en","https://www.mykapusta.com/post-studio","nofollow","Post Studio","Post Studio",NA,NA,NA,NA,NA,NA,2,NA
"27","snscrape.modules.twitter.Tweet","https://twitter.com/JewelrySessions/status/1621554401801289728","2023-02-03 17:01:11+00:00","🤯 You won’t believe this! Big Dazzling Zirconia Necklace &amp; Earrings Set Fashion selling at $122.93 🤯
by Jewelry Sessions ⏩ https://t.co/BJYeGC4d4L
🚀 Selling out fast so be quick! 🚀 https://t.co/LmTu0tRXL1","🤯 You won’t believe this! Big Dazzling Zirconia Necklace &amp; Earrings Set Fashion selling at $122.93 🤯
by Jewelry Sessions ⏩ shortlink.store/5lVJ7ICRp
🚀 Selling out fast so be quick! 🚀 https://t.co/LmTu0tRXL1",1621554401801289728,0,0,0,0,1621554401801289728,"en","https://www.mykapusta.com/post-studio","nofollow","Post Studio","Post Studio",NA,NA,NA,NA,NA,NA,NA,NA
"28","snscrape.modules.twitter.Tweet","https://twitter.com/winrgirl/status/1621554032937410560","2023-02-03 16:59:43+00:00","Through his business, Past Around, Hopkins and his staff seek to counteract the effects of so-called “fast fashion” – a relatively new phenomenon in the clothing industry that forms a key part of .. https://t.co/17GAE7kS6w—— #PastAround https://t.co/OAapl5s1aj","Through his business, Past Around, Hopkins and his staff seek to counteract the effects of so-called “fast fashion” – a relatively new phenomenon in the clothing industry that forms a key part of .. msn.com/en-us/lifestyl…—— #PastAround https://t.co/OAapl5s1aj",1621554032937410560,0,0,0,0,1621554032937410560,"en","https://systemunknown.com","nofollow","SystemUnknown","SystemUnknown",NA,NA,NA,NA,"['PastAround']",NA,3,NA
"29","snscrape.modules.twitter.Tweet","https://twitter.com/sammymowrey/status/1621553978071973888","2023-02-03 16:59:30+00:00","I cannot fucking believe that we’re destroying our planet for fast fashion that looks like this https://t.co/X9F0qC23Ko","I cannot fucking believe that we’re destroying our planet for fast fashion that looks like this https://t.co/X9F0qC23Ko",1621553978071973888,3,11,146,2,1621553978071973888,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,5096,NA
"30","snscrape.modules.twitter.Tweet","https://twitter.com/aman_grewal_/status/1621553788342489091","2023-02-03 16:58:44+00:00","Is Designer Fashion more Sustainable than Fast Fashion? https://t.co/sDdseUyj3W","Is Designer Fashion more Sustainable than Fast Fashion? amangrewal.ca/is-designer-fa…",1621553788342489088,0,0,0,0,1621553788342489088,"en","https://mobile.twitter.com","nofollow","Twitter Web App","Twitter Web App",NA,NA,NA,NA,NA,NA,2,NA
"31","snscrape.modules.twitter.Tweet","https://twitter.com/rejectpetitions/status/1621552045474865155","2023-02-03 16:51:49+00:00","""Ban fast fashion immediately"" https://t.co/GOrIGB9Jr8","""Ban fast fashion immediately"" petition.parliament.uk/petitions/6321…",1621552045474865152,0,0,0,0,1621552045474865152,"en","https://twitter.com/rejectpetitions","nofollow","Rejected Petitions","Rejected Petitions",NA,NA,NA,NA,NA,NA,592,NA
"32","snscrape.modules.twitter.Tweet","https://twitter.com/BlueMerkitten/status/1621551677152133120","2023-02-03 16:50:21+00:00","I'm so tired of cute/sexy outfits and ""e-girl"" looks not coming in my size or not fitting properly, so I'm really going to try and start making my own stuff this year.

I always say I'm going to, but I'm just so tired of fast fashion and not being able to find what I want 😓","I'm so tired of cute/sexy outfits and ""e-girl"" looks not coming in my size or not fitting properly, so I'm really going to try and start making my own stuff this year.

I always say I'm going to, but I'm just so tired of fast fashion and not being able to find what I want 😓",1621551677152133120,0,0,4,0,1621551677152133120,"en","http://twitter.com/download/android","nofollow","Android","Twitter for Android",NA,NA,NA,NA,NA,NA,74,NA
